"track","tempo","tempo_category"
"Feel Good Inc.","138.559","Cepat"
"Rhinestone Eyes","92.761","Sedang"
"New Gold (feat. Tame Impala and Bootie Brown)","108.014","Sedang"
"On Melancholy Hill","120.423","Cepat"
"Clint Eastwood","167.953","Cepat"
"DARE","120.264","Cepat"
"New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix","127.03","Cepat"
"She's My Collar (feat. Kali Uchis)","140.158","Cepat"
"Cracker Island (feat. Thundercat)","120.012","Cepat"
"Dirty Harry","192.296","Cepat"
"Californication","96.483","Sedang"
"Under the Bridge","84.581","Lambat"
"Can't Stop","91.455","Sedang"
"Scar Tissue","88.969","Lambat"
"Otherside","123.229","Cepat"
"Snow (Hey Oh)","104.655","Sedang"
"Dani California","96.184","Sedang"
"Something Just Like This","103.019","Sedang"
"By the Way","122.444","Cepat"
"Give It Away","91.577","Sedang"
"Dark Necessities","91.959","Sedang"
"In Da Club","90.059","Sedang"
"Candy Shop","125.173","Cepat"
"Just A Lil Bit","96.946","Sedang"
"P.I.M.P.","78.693","Lambat"
"Many Men (Wish Death)","108.52","Sedang"
"Disco Inferno","97.018","Sedang"
"Besharam Rang (From ""Pathaan"")","115.997","Sedang"
"21 Questions","90.012","Sedang"
"Is This Love ('09) (feat. 50 Cent)","94.028","Sedang"
"If I Can't","93.975","Sedang"
"Best Friend - Remix","181.733","Cepat"
"Enter Sandman (Remastered)","123.296","Cepat"
"Nothing Else Matters (Remastered)","142.37","Cepat"
"Master of Puppets (Remastered)","105.25","Sedang"
"Whiskey In The Jar","132.97","Cepat"
"The Unforgiven (Remastered)","139.503","Cepat"
"One (Remastered)","103.01","Sedang"
"For Whom The Bell Tolls (Remastered)","117.909","Sedang"
"Lux Æterna","130.573","Cepat"
"Sad But True (Remastered)","89.24","Lambat"
"Screaming Suicide","101.125","Sedang"
"Yellow","173.372","Cepat"
"Viva La Vida","138.015","Cepat"
"Sparks","102.617","Sedang"
"No Surprises","76.426","Lambat"
"The Scientist","146.277","Cepat"
"A Sky Full of Stars","124.97","Cepat"
"Paradise","139.631","Cepat"
"Hymn for the Weekend","90.027","Sedang"
"My Universe","105.006","Sedang"
"Karma Police","74.807","Lambat"
"Fix You","138.178","Cepat"
