"track","speechiness","url_youtube"
"Teil 7 - Sherlock Holmes und der blinde Bettler - Die neuen Abenteuer, Folge 50","0.964","https://www.youtube.com/watch?v=Z_pXmKAsXGw"
"Teil 1 - Sherlock Holmes und die Geheimwaffe - Sherlock Holmes - Die neuen Romane, Band 54","0.962","https://www.youtube.com/watch?v=sgb6YechHTQ"
"Kapitel 09: Der Hexenbesenausflug (Folge 146)","0.961","https://www.youtube.com/watch?v=x_FmPs7b0Ms"
"Kapitel 11: Der Hexenbesenausflug (Folge 146)","0.961",NULL
"Teil 9 - Sherlock Holmes und ein Brief von der Titanic - Die Abenteuer des alten Sherlock Holmes, Folge 28","0.96","https://www.youtube.com/watch?v=4s9RKAwL7Z4"
"Teil 14 - Fall 53: Die sieben Zinnsoldaten","0.96","https://www.youtube.com/watch?v=pgFghcGwBnY"
"Teil 5 - Sherlock Holmes und der blinde Bettler - Die neuen Abenteuer, Folge 50","0.959","https://www.youtube.com/watch?v=9lEzIz7u1Ck"
"152 - und das Geheimnis der Kelly Brüder - Teil 10","0.959","https://www.youtube.com/watch?v=iF6_bm9eSyE"
"Teil 1 - Fall 53: Die sieben Zinnsoldaten","0.956","https://www.youtube.com/watch?v=DdrJBV_xtZA"
"Kapitel 2.4 & Kapitel 3.1 - Sindbad der Seefahrer","0.955","https://www.youtube.com/watch?v=QV9EaemcBS0"
"Kapitel 03: Das große Gewitter (Folge 153)","0.954","https://www.youtube.com/watch?v=hHunKUC07mM"
"Teil 8 - Sherlock Holmes und der blinde Bettler - Die neuen Abenteuer, Folge 50","0.953","https://www.youtube.com/watch?v=9lEzIz7u1Ck"
"Kapitel 4.2 & Kapitel 5.1 - Die kleine Hexe - Das Hörspiel","0.952",NULL
"Teil 9 - Fall 53: Die sieben Zinnsoldaten","0.951","https://www.youtube.com/watch?v=wl6FnW4i6Tw"
"Teil 6 - Sherlock Holmes und der blinde Bettler - Die neuen Abenteuer, Folge 50","0.951","https://www.youtube.com/watch?v=9lEzIz7u1Ck"
"Kapitel 06: Der Hexenbesenausflug (Folge 146)","0.95",NULL
"Teil 9 - Sherlock Holmes und der blinde Bettler - Die neuen Abenteuer, Folge 50","0.949","https://www.youtube.com/watch?v=9lEzIz7u1Ck"
"Kapitel 15: Der Hexenbesenausflug (Folge 146)","0.949",NULL
"Teil 6 - Fall 53: Die sieben Zinnsoldaten","0.948","https://www.youtube.com/watch?v=tSHvUDllHYY"
"Kapitel 10: Der Hexenbesenausflug (Folge 146)","0.947",NULL
"Kapitel 2.2 - Der Kaiser von Dallas","0.947",NULL
"Kapitel 16: Der Hexenbesenausflug (Folge 146)","0.947","https://www.youtube.com/watch?v=x_FmPs7b0Ms"
"225 - Tanz mit der Giftschlange - Teil 10","0.947","https://www.youtube.com/watch?v=aINjSeYtFVA"
"Kapitel 2.2 & Kapitel 3.1 - Die kleine Hexe - Das Hörspiel","0.947",NULL
"Teil 10 - Sherlock Holmes und ein Brief von der Titanic - Die Abenteuer des alten Sherlock Holmes, Folge 28","0.945","https://www.youtube.com/watch?v=wl6FnW4i6Tw"
"Drachenzähmen leicht gemacht 3 - Teil 2","0.945","https://www.youtube.com/watch?v=9qwF5J-G9aM"
"225 - Tanz mit der Giftschlange - Teil 09","0.944","https://www.youtube.com/watch?v=aINjSeYtFVA"
"Kapitel 17: Der Hexenbesenausflug (Folge 146)","0.944",NULL
"Paul Revere","0.944","https://www.youtube.com/watch?v=Mcm3P1McN1I"
"Kapitel 16: Das große Gewitter (Folge 153)","0.942","https://www.youtube.com/watch?v=hHunKUC07mM"
