"track","artist","instrumentalness","url_youtube"
"Air Conditioner - Loopable with no fade","White Noise for Babies","1","https://www.youtube.com/watch?v=gUkNfU0z9ts"
"Air Conditioner - Loopable with no fade","White Noise Baby Sleep","1","https://www.youtube.com/watch?v=gUkNfU0z9ts"
"Clean White Noise - Loopable with no fade","White Noise Baby Sleep","1","https://www.youtube.com/watch?v=8h8p7TOykK8"
"Clean White Noise - Loopable, No Fade","White Noise for Babies","1","https://www.youtube.com/watch?v=8h8p7TOykK8"
"Soothing White Noise - Loopable, No Fade","White Noise for Babies","1","https://www.youtube.com/watch?v=nMfPqeZjc2c"
"Clean White Noise - Loopable with no fade","White Noise for Babies","1","https://www.youtube.com/watch?v=8h8p7TOykK8"
"Pure Brown Noise - Loopable with no fade","White Noise Baby Sleep","1","https://www.youtube.com/watch?v=1hSNJvE4c70"
"Pure Brown Noise - Loopable with no fade","White Noise for Babies","1","https://www.youtube.com/watch?v=snlA7rFR0iQ"
"White Noise Relaxation for Calming Down Fussy Infant Baby, Sleepy Toddler or Child","White Noise Baby Sleep","0.999","https://www.youtube.com/watch?v=8YXAtMGgrik"
"White Noise Waves","Ocean Waves For Sleep","0.995",NULL
"White Noise Waves","Ocean Sounds","0.995","https://www.youtube.com/watch?v=Ln3frLRnnwQ"
"Calming Pacific Ocean Roar to Induce Healing Delta Sleep Waves (Nursery Rhymes Lullabies Effect)","White Noise Baby Sleep","0.995","https://www.youtube.com/watch?v=7pzCimTP2F4"
"Brown Noise Background","Ocean Waves For Sleep","0.993","https://www.youtube.com/watch?v=SwoL4Qi_FJk"
"528 Hz Bring Positive Transformation","Solfeggio Healing Frequencies MT","0.992","https://www.youtube.com/watch?v=1MPRbX7ACh8"
"528 Hz Bring Positive Transformation","Miracle Tones","0.992","https://www.youtube.com/watch?v=1MPRbX7ACh8"
"Calm Sea Sounds","Ocean Sounds","0.989","https://www.youtube.com/watch?v=vPhg6sc1Mk4"
"Calm Sea Sounds","Ocean Waves For Sleep","0.989","https://www.youtube.com/watch?v=blAB_JqAJNw"
"Kyne's Peace","Jeremy Soule","0.988","https://www.youtube.com/watch?v=KSujx7MNhyQ"
"A Close Friend","James Newton Howard","0.988","https://www.youtube.com/watch?v=BIYy5by8jdc"
"Rolling Ocean Waves","Ocean Sounds","0.988","https://www.youtube.com/watch?v=bn9F19Hi1Lk"
"Rolling Ocean Waves","Ocean Waves For Sleep","0.988",NULL
"Ocean Sounds For Deep Sleep","Ocean Waves For Sleep","0.986","https://www.youtube.com/watch?v=bn9F19Hi1Lk"
"Ocean Sounds For Deep Sleep","Ocean Sounds","0.986","https://www.youtube.com/watch?v=bn9F19Hi1Lk"
"Salamander Eyes","James Newton Howard","0.985","https://www.youtube.com/watch?v=noCvtHWzk_Q"
"Finding Nemo","Thomas Newman","0.983","https://www.youtube.com/watch?v=sKljOD5B71k"
"Cornfield Chase","Hans Zimmer","0.982","https://www.youtube.com/watch?v=Qflou-xGGbo"
"Rain and Thunderstorm, Pt. 34","Rain Fruits Sounds","0.981","https://www.youtube.com/watch?v=cv2-ustvqN4"
"River Flows in You","Yiruma","0.978","https://www.youtube.com/watch?v=7maJOI3QMu0"
"Test Drive - From How To Train Your Dragon Music From The Motion Picture","John Powell","0.978","https://www.youtube.com/watch?v=zTSXiF_cxG8"
"Feast of Starlight","Howard Shore","0.977","https://www.youtube.com/watch?v=-gbWL7MJ_kI"
"Bonetrousle","Toby Fox","0.976",NULL
"Lemon Glow","Beach House","0.976","https://www.youtube.com/watch?v=08qd-vsHbaY"
"Celebration Of Varisu (From ""Varisu"")","Thaman S","0.974","https://www.youtube.com/watch?v=ddIYPnCl6m8"
"Salut d'Amour, Op. 12","Yo-Yo Ma","0.974","https://www.youtube.com/watch?v=p-fVJ352lmY"
"Lily's Theme","Alexandre Desplat","0.974","https://www.youtube.com/watch?v=WsNJe9fy7Sc"
"Awake","Jeremy Soule","0.972","https://www.youtube.com/watch?v=Huxj9hagBtM"
"Piano Concerto No. 21 in C Major, K. 467: II. Andante","Wolfgang Amadeus Mozart","0.972","https://www.youtube.com/watch?v=i2uYb6bMKyI"
"Dream 1 (before the wind blows it all away) - Pt. 2","Max Richter","0.97","https://www.youtube.com/watch?v=RjeFXf1rqww"
"Inside Out","Duster","0.97","https://www.youtube.com/watch?v=IKsq7sLH4vQ"
"Rain and Thunderstorm, Pt. 5","Rain Fruits Sounds","0.969","https://www.youtube.com/watch?v=cv2-ustvqN4"
"Alan Turing's Legacy","Alexandre Desplat","0.969","https://www.youtube.com/watch?v=owSoB4s9el8"
"Sleepy Sea Sounds","Ocean Waves For Sleep","0.969","https://www.youtube.com/watch?v=bn9F19Hi1Lk"
"Spider Dance","Toby Fox","0.969","https://www.youtube.com/watch?v=YZ3XjVVNagU"
"Schumann: Davidsbündlertänze, Op. 6, Heft II: No. 14, Zart und singend","Robert Schumann","0.969","https://www.youtube.com/watch?v=a6-WomZ_I90"
"Carnival of the Animals: The Swan","Camille Saint-Saëns","0.969","https://www.youtube.com/watch?v=b44-5M4e9nI"
"Sleepy Sea Sounds","Ocean Sounds","0.969","https://www.youtube.com/watch?v=bn9F19Hi1Lk"
"Deep Pink Noise","Ocean Waves For Sleep","0.968",NULL
"Ancient Stones","Jeremy Soule","0.968","https://www.youtube.com/watch?v=kX-oTQR1ihk"
"Après un rêve, Op. 7, No. 1","Yo-Yo Ma","0.968","https://www.youtube.com/watch?v=11Wi4KQQzkc"
"Perfect Natural White Noise as a Relaxing Ambient Sleep Aid (Nice Lullaby)","White Noise Baby Sleep","0.968","https://www.youtube.com/watch?v=hQIvnWgzJLc"
"Deep Pink Noise","Ocean Sounds","0.968",NULL
"Dream 1 (before the wind blows it all away) - Pt. 1","Max Richter","0.968","https://www.youtube.com/watch?v=RjeFXf1rqww"
"A Song of Ice and Fire","Ramin Djawadi","0.968","https://www.youtube.com/watch?v=HppOkD89ntQ"
"Nemo Egg (Main Title)","Thomas Newman","0.967","https://www.youtube.com/watch?v=sKljOD5B71k"
"Serenade, D. 957, No. 4","Franz Schubert","0.965","https://www.youtube.com/watch?v=qYejArVzId8"
"Caribbean Blue","Enya","0.965","https://www.youtube.com/watch?v=Jl8iYAo90pE"
"Stars Will Fall","Duster","0.965","https://www.youtube.com/watch?v=C1zMWc4ihUY"
"Ave verum corpus","Stephen Cleobury","0.964","https://www.youtube.com/watch?v=gDKCK_6WLTg"
"Dream 1 (before the wind blows it all away) - Pt. 4","Max Richter","0.964","https://www.youtube.com/watch?v=RjeFXf1rqww"
"Day One (Interstellar Theme)","Hans Zimmer","0.964","https://www.youtube.com/watch?v=DITy3T2BgbI"
"Chevaliers De Sangreal - From The Da Vinci Code Original Motion Picture Soundtrack","Hans Zimmer","0.964","https://www.youtube.com/watch?v=pAL6sGxOWEs"
"Any Other Name","Thomas Newman","0.963","https://www.youtube.com/watch?v=WIjWaulrLjs"
"Progeny","The Lyndhurst Orchestra","0.963","https://www.youtube.com/watch?v=nH3ibTjuLYs"
"Progeny","Lisa Gerrard","0.963","https://www.youtube.com/watch?v=zuGbKRdY_OE"
"The Landing","Duster","0.963","https://www.youtube.com/watch?v=IbO98u1m9ho"
"Reunion - From ""Gladiator"" Soundtrack","Lisa Gerrard","0.962","https://www.youtube.com/watch?v=o2ZiIPEorP0"
"With you - Instrumental","Jimin","0.962","https://www.youtube.com/watch?v=Vyyzck7jumU"
"Coffee","beabadoobee","0.962","https://www.youtube.com/watch?v=C6CeA6vRtW4"
"Album for the Young, Op. 39: No. 3. Mamma (Maman)","Pyotr Ilyich Tchaikovsky","0.962","https://www.youtube.com/watch?v=cZxjggxy19c"
"Memories of Mother (feat. Eivør)","Bear McCreary","0.962","https://www.youtube.com/watch?v=rg8y4npCdY8"
"Elder Scrolls – Skyrim: Far Horizons","London Philharmonic Orchestra","0.961","https://www.youtube.com/watch?v=63QCSDXSFfw"
"Experience","Daniel Hope","0.961","https://www.youtube.com/watch?v=EJwwWPrwwo4"
"Experience","Ludovico Einaudi","0.961","https://www.youtube.com/watch?v=hN_q-_nGv4U"
"Lyric Pieces Book I, Op. 12: No. 1 Arietta","Edvard Grieg","0.961","https://www.youtube.com/watch?v=5TbQftYOKms"
"Experience","I Virtuosi Italiani","0.961","https://www.youtube.com/watch?v=hN_q-_nGv4U"
"Domestic Pressures","Jóhann Jóhannsson","0.961","https://www.youtube.com/watch?v=HFskQSdoT5k"
"A Model of the Universe","Jóhann Jóhannsson","0.96","https://www.youtube.com/watch?v=fhQC7JBr7nU"
