"track","artist","stream"
"Blinding Lights","The Weeknd","3386520288"
"Shape of You","Ed Sheeran","3362005201"
"Someone You Loved","Lewis Capaldi","2634013335"
"rockstar (feat. 21 Savage)","Post Malone","2594926619"
"Sunflower - Spider-Man: Into the Spider-Verse","Swae Lee","2538329799"
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","2538329799"
"One Dance","Drake","2522431995"
"Closer","The Chainsmokers","2456205158"
"Closer","Halsey","2456205158"
"Believer","Imagine Dragons","2369272335"
