"track","duration_min","duration_category"
"Feel Good Inc.",3,"Medium (3-5 min)"
"Rhinestone Eyes",3,"Medium (3-5 min)"
"New Gold (feat. Tame Impala and Bootie Brown)",3,"Medium (3-5 min)"
"On Melancholy Hill",3,"Medium (3-5 min)"
"Clint Eastwood",5,"Long (> 5 min)"
"DARE",4,"Medium (3-5 min)"
"New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix",4,"Medium (3-5 min)"
"She's My Collar (feat. Kali Uchis)",3,"Medium (3-5 min)"
"Cracker Island (feat. Thundercat)",3,"Medium (3-5 min)"
"Dirty Harry",3,"Medium (3-5 min)"
"Californication",5,"Long (> 5 min)"
"Under the Bridge",4,"Medium (3-5 min)"
"Can't Stop",4,"Medium (3-5 min)"
"Scar Tissue",3,"Medium (3-5 min)"
"Otherside",4,"Medium (3-5 min)"
"Snow (Hey Oh)",5,"Long (> 5 min)"
"Dani California",4,"Medium (3-5 min)"
"Something Just Like This",4,"Medium (3-5 min)"
"By the Way",3,"Medium (3-5 min)"
"Give It Away",4,"Medium (3-5 min)"
"Dark Necessities",5,"Long (> 5 min)"
"In Da Club",3,"Medium (3-5 min)"
"Candy Shop",3,"Medium (3-5 min)"
"Just A Lil Bit",3,"Medium (3-5 min)"
"P.I.M.P.",4,"Medium (3-5 min)"
"Many Men (Wish Death)",4,"Medium (3-5 min)"
"Disco Inferno",3,"Medium (3-5 min)"
"Besharam Rang (From ""Pathaan"")",4,"Medium (3-5 min)"
"21 Questions",3,"Medium (3-5 min)"
"Is This Love ('09) (feat. 50 Cent)",3,"Medium (3-5 min)"
"If I Can't",3,"Medium (3-5 min)"
"Best Friend - Remix",4,"Medium (3-5 min)"
"Enter Sandman (Remastered)",5,"Long (> 5 min)"
"Nothing Else Matters (Remastered)",6,"Long (> 5 min)"
"Master of Puppets (Remastered)",8,"Long (> 5 min)"
"Whiskey In The Jar",5,"Long (> 5 min)"
"The Unforgiven (Remastered)",6,"Long (> 5 min)"
"One (Remastered)",7,"Long (> 5 min)"
"For Whom The Bell Tolls (Remastered)",5,"Long (> 5 min)"
"Lux Æterna",3,"Medium (3-5 min)"
"Sad But True (Remastered)",5,"Long (> 5 min)"
"Screaming Suicide",5,"Long (> 5 min)"
"Yellow",4,"Medium (3-5 min)"
"Viva La Vida",4,"Medium (3-5 min)"
"Sparks",3,"Medium (3-5 min)"
"No Surprises",3,"Medium (3-5 min)"
"The Scientist",5,"Long (> 5 min)"
"A Sky Full of Stars",4,"Medium (3-5 min)"
"Paradise",4,"Medium (3-5 min)"
"Hymn for the Weekend",4,"Medium (3-5 min)"
"My Universe",3,"Medium (3-5 min)"
"Karma Police",4,"Medium (3-5 min)"
"Fix You",4,"Medium (3-5 min)"
"Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit",4,"Medium (3-5 min)"
"One More Time",5,"Long (> 5 min)"
"Instant Crush (feat. Julian Casablancas)",5,"Long (> 5 min)"
"Get Lucky (feat. Pharrell Williams & Nile Rodgers)",6,"Long (> 5 min)"
"Around the World",7,"Long (> 5 min)"
"High and Dry",4,"Medium (3-5 min)"
