"artist","track","stream"
"$NOT","Tell Em","345922064"
"$NOT","GOSHA","281423147"
"$NOT","Moon & Stars (feat. Maggie Lindemann)","163440234"
"$NOT","Mean","88796610"
"$NOT","Like Me (feat. iann dior)","78913057"
"$uicideboy$","...And to Those I Love, Thanks for Sticking Around","471829667"
"$uicideboy$","Kill Yourself (Part III)","461180059"
"$uicideboy$","Paris","354905608"
"$uicideboy$","Runnin' Thru the 7th with My Woadies","227969784"
"$uicideboy$","For the Last Time","174167162"
"(G)I-DLE","POP/STARS","290417696"
"(G)I-DLE","MORE","185395831"
"(G)I-DLE","THE BADDEST","160380146"
"(G)I-DLE","TOMBOY","148391828"
"(G)I-DLE","LATATA","116374767"
"*NSYNC","Bye Bye Bye","435055597"
"*NSYNC","This I Promise You","207785820"
"*NSYNC","It's Gonna Be Me","198506125"
"*NSYNC","Merry Christmas, Happy Holidays","176320944"
"*NSYNC","Tearin' up My Heart - Radio Edit","172490384"
"070 Shake","Escapism.","178170998"
"070 Shake","Escapism. - Sped Up","74518022"
"070 Shake","Honey","59468211"
"070 Shake","Guilty Conscience","56036925"
"070 Shake","Guilty Conscience - Tame Impala Remix","31138562"
"11:11 Music Group","Past Lives","63075460"
"11:11 Music Group","after dark x sweater weather","26810637"
"11:11 Music Group","eyes blue or brown, can't remember","26488952"
"11:11 Music Group","sure thing (sped up)","23598990"
"11:11 Music Group","hola como tale tale vu - 1, 2, 3","8525196"
"112","Only You (feat. The Notorious B.I.G. & Mase) - Bad Boy Remix","93037718"
"112","Peaches & Cream","91182232"
"112","Cupid","75790162"
"112","Dance With Me","55082469"
"112","It's Over Now","40400843"
"1nonly","Stay With Me","270408673"
"1nonly","Shakira!","97904074"
"1nonly","Bunny Girl","93313579"
"1nonly","Ash Kaashh","41165264"
"1nonly","DANCE!","39239035"
"2 Chainz","It's A Vibe","446320750"
"2 Chainz","We Own It (Fast & Furious)","387222121"
"2 Chainz","Champions","268738307"
"2 Chainz","4:00 AM","256532435"
"2 Chainz","X (with 2 Chainz & Saudi)","248242039"
"21 Savage","Knife Talk (with 21 Savage ft. Project Pat)","501420741"
"21 Savage","Jimmy Cooks (feat. 21 Savage)","413205085"
"21 Savage","Rich Flex","311694937"
"21 Savage","Creepin' (with The Weeknd & 21 Savage)","279832635"
"21 Savage","Glock In My Lap","182739405"
"24kGoldn","Mood (feat. iann dior)","1610930267"
"24kGoldn","VALENTINO","391257235"
"24kGoldn","CITY OF ANGELS","352671426"
"24kGoldn","Tick Tock (feat. 24kGoldn)","307148858"
"24kGoldn","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","223499126"
"2Pac","Ambitionz Az A Ridah","578493150"
"2Pac","California Love - Original Version","497213287"
"2Pac","All Eyez On Me (ft. Big Syke)","428728611"
"2Pac","Changes","411056377"
"2Pac","Hit 'Em Up - Single Version","375955728"
"3 Doors Down","Here Without You - Acoustic",NULL
"3 Doors Down","Kryptonite","704218472"
"3 Doors Down","Here Without You","510259109"
"3 Doors Down","When I'm Gone","185957704"
"3 Doors Down","It's Not My Time","106576967"
"42 Dugg","We Paid (feat. 42 Dugg)","316621122"
"42 Dugg","4 Da Gang (with Roddy Ricch)","152069816"
"42 Dugg","Grace (feat. 42 Dugg)","119637444"
"42 Dugg","LEMONHEAD (feat. 42 Dugg)","72858000"
"42 Dugg","Maybach (feat. Future)","55856507"
"5 Seconds of Summer","Youngblood","1492403486"
"5 Seconds of Summer","She Looks So Perfect","531668029"
"5 Seconds of Summer","Teeth","502081353"
"5 Seconds of Summer","Who Do You Love","500386543"
"5 Seconds of Summer","Easier","353081736"
"50 Cent","In Da Club","1041736808"
"50 Cent","Candy Shop","701248893"
"50 Cent","P.I.M.P.","541728561"
"50 Cent","21 Questions","446003044"
"50 Cent","Just A Lil Bit","395155110"
"6ix9ine","FEFE","726672411"
"6ix9ine","BEBE","520701154"
"6ix9ine","GOOBA","421578976"
"6ix9ine","KIKA","316984300"
"6ix9ine","BILLY","313824036"
"6LACK","Calling My Phone","592789156"
"6LACK","OTW","562833308"
"6LACK","PRBLMS","404206436"
"6LACK","Pretty Little Fears (feat. J. Cole)","344568695"
"6LACK","Ex Calling","256195490"
"a-ha","Take on Me","1299777688"
"a-ha","The Sun Always Shines on T.V.","66614165"
"a-ha","Hunting High and Low","64511762"
"a-ha","Take On Me - MTV Unplugged","59712050"
"a-ha","Crying in the Rain","54925462"
"A Boogie Wit da Hoodie","Swervin (feat. 6ix9ine)","739295609"
"A Boogie Wit da Hoodie","Drowning (feat. Kodak Black)","718222529"
"A Boogie Wit da Hoodie","Look Back at It","600880243"
"A Boogie Wit da Hoodie","My Shit","378123612"
"A Boogie Wit da Hoodie","Jungle","290655353"
"A Day To Remember","If It Means A Lot To You","205562179"
"A Day To Remember","The Downfall Of Us All","157249972"
"A Day To Remember","All I Want","141709277"
